s,E0,E1,E2,E3,gap,K
4.300000000000000350e-02,-1.914609226520610941e+00,-4.298914982863300677e-02,4.299999999999999656e-02,1.914598376349243791e+00,1.871620076691977941e+00,1.113196787746690147e-01
4.350000000000000394e-02,-1.913623871044755287e+00,-4.348875520395726474e-02,4.349999999999998312e-02,1.913612626248712756e+00,1.870135115840797946e+00,1.116252708766914820e-01
4.399999999999999745e-02,-1.912638699039423296e+00,-4.398835083915451222e-02,4.400000000000000439e-02,1.912627049878578012e+00,1.868650348200268763e+00,1.119318580460918061e-01
4.449999999999999789e-02,-1.911653710852395216e+00,-4.448793660174674147e-02,4.450000000000000483e-02,1.911641647454141779e+00,1.867165774250648447e+00,1.122394439978518926e-01
4.499999999999999833e-02,-1.910668906832316161e+00,-4.498751235873525711e-02,4.500000000000000527e-02,1.910656419191051558e+00,1.865681394473580834e+00,1.125480324623062273e-01
4.549999999999999878e-02,-1.909684287328701657e+00,-4.548707797660159896e-02,4.550000000000000572e-02,1.909671365305303015e+00,1.864197209352099982e+00,1.128576271852119867e-01
4.599999999999999922e-02,-1.908699852691933430e+00,-4.598663332130414894e-02,4.599999999999997841e-02,1.908686486013237760e+00,1.862713219370629281e+00,1.131682319278150134e-01
4.649999999999999967e-02,-1.907715603273271388e+00,-4.648617825827554978e-02,4.650000000000000661e-02,1.907701781531546903e+00,1.861229425014995886e+00,1.134798504669181501e-01
4.700000000000000011e-02,-1.906731539424847854e+00,-4.698571265242190709e-02,4.700000000000000705e-02,1.906717252077269720e+00,1.859745826772425836e+00,1.137924865949504483e-01
4.750000000000000056e-02,-1.905747661499675116e+00,-4.748523636811919496e-02,4.750000000000000749e-02,1.905732897867794540e+00,1.858262425131555817e+00,1.141061441200345444e-01
4.800000000000000100e-02,-1.904763969851646976e+00,-4.798474926921471317e-02,4.800000000000000794e-02,1.904748719120861855e+00,1.856779220582432277e+00,1.144208268660576594e-01
4.850000000000000144e-02,-1.903780464835540753e+00,-4.848425121902072421e-02,4.850000000000000838e-02,1.903764716054561656e+00,1.855296213616520085e+00,1.147365386727385445e-01
4.900000000000000189e-02,-1.902797146807019057e+00,-4.898374208031485572e-02,4.900000000000000883e-02,1.902780888887334321e+00,1.853813404726704306e+00,1.150532833956994655e-01
